design,body_mm,nose_mm,nose_shape,motor,fin_count,span_mm,variant,variant_size,wind_m_s,wind_heading_deg,launch_mass_g,loaded_cg_mm,added_mass_g,collar_mass_g,status,warnings,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m
b530-n40-ogive-E12-3f-s53p6538-reference-0,530,40,ogive,E12-6,3,53.65384615384615,reference,0,4,0,238.18607238268243,331.5990536718847,0,27.0,completed,[],325.54221399053847,12.922428576339964,1.6369171065153763,7.866635667120392,4.945258510814535,179.72237580414074
b530-n40-ogive-E12-3f-s53p6538-reference-0,530,40,ogive,E12-6,3,53.65384615384615,reference,0,4,90,238.18607238268243,331.5990536718847,0,27.0,completed,[],325.5409791383062,12.922429018329609,1.6369175132239506,7.837328211150955,4.945146082143661,179.90245984120034
b500-n50-conical-D12-3f-s53p6538-guard-1,500,50,conical,D12-5,3,53.65384615384615,guard,1,0,0,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],181.27203004241923,12.747393764709559,2.190023041030154,2.2996212101484232,4.889865497436367,0.08216532123205827
b500-n50-conical-D12-3f-s53p6538-guard-1,500,50,conical,D12-5,3,53.65384615384615,guard,1,4,0,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],174.1956389480439,12.740173864674912,1.7381296020560784,6.736672375612691,4.88986527044192,95.46346984566563
b500-n50-conical-D12-3f-s53p6538-guard-1,500,50,conical,D12-5,3,53.65384615384615,guard,1,4,90,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],174.19033286768286,12.74017435696691,1.7400992735852312,6.724444166879689,4.889753932529789,95.52647916786768
b500-n50-conical-D12-3f-s53p6538-guard-2,500,50,conical,D12-5,3,53.65384615384615,guard,2,0,0,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],181.21837287434585,12.74584530202943,2.0904794694180424,2.308382393317783,4.890141442406016,0.08212444959561303
b500-n50-conical-D12-3f-s53p6538-guard-2,500,50,conical,D12-5,3,53.65384615384615,guard,2,4,0,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],174.14740555096367,12.738623828661346,1.7329091412252604,6.736028493221414,4.8901412180784005,95.44317800472606
b500-n50-conical-D12-3f-s53p6538-guard-2,500,50,conical,D12-5,3,53.65384615384615,guard,2,4,90,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],174.13603205799288,12.738624292522813,1.740586223540527,6.728543245374222,4.890029873871524,95.47238647042015
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-1,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,1,0,0,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],181.29161306970877,12.747400221024224,2.231062253158966,2.295583961488562,4.889865496496137,0.08219028720289037
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-1,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,1,4,0,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],174.21264925944115,12.740182940191108,1.7400993412074732,6.737321711605621,4.889865268741495,95.46346341407902
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-1,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,1,4,90,218.8802505474399,318.3057305196215,0.52232,27.0,completed,[],174.209146428184,12.740183442262662,1.7400997194450947,6.723543058717334,4.889753930823014,95.53761231304198
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-2,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,2,0,0,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],181.26846253567425,12.74586162708663,2.2067798622632395,2.2980569502145802,4.890141440205607,0.08218042823882409
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-2,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,2,4,0,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],174.18733149989802,12.73864685369597,1.7405869773433362,6.740193387086225,4.890141214062467,95.42529060544157
b500-n50-conical-D12-3f-s53p6538-guard-mass-only-2,500,50,conical,D12-5,3,53.65384615384615,guard-mass-only,2,4,90,218.90257054743995,318.28234978045333,0.54464,27.0,completed,[],174.18419687785106,12.738647355714551,1.7405873555065434,6.7262027121686865,4.890029869710371,95.50097624799864
b500-n50-conical-E12-3f-s53p6538-guard-1,500,50,conical,E12-6,3,53.65384615384615,guard,1,0,0,235.18025054743993,328.95656785268613,0.52232,27.0,completed,[],322.3542504636115,13.121012486306991,2.333543966350097,1.5496455179611515,4.908375433618289,0.19090923344549007
b500-n50-conical-E12-3f-s53p6538-guard-1,500,50,conical,E12-6,3,53.65384615384615,guard,1,4,0,235.18025054743993,328.95656785268613,0.52232,27.0,completed,[],311.02400586936477,13.11396668023142,1.4945801286424347,7.634150814924872,4.908375099612255,174.22006255150268
b500-n50-conical-E12-3f-s53p6538-guard-1,500,50,conical,E12-6,3,53.65384615384615,guard,1,4,90,235.18025054743993,328.95656785268613,0.52232,27.0,completed,[],311.0185445497944,13.113967120582894,1.4965700161245432,7.612527990566503,4.908263498563499,174.35989988762574
b500-n50-conical-E12-3f-s53p6538-guard-2,500,50,conical,E12-6,3,53.65384615384615,guard,2,0,0,235.20257054743996,328.9337967129744,0.54464,27.0,completed,[],322.25384737881853,13.119537279420637,2.271102972416847,1.5616469050037356,4.908650347416566,0.19112011560664047
b500-n50-conical-E12-3f-s53p6538-guard-2,500,50,conical,E12-6,3,53.65384615384615,guard,2,4,0,235.20257054743996,328.9337967129744,0.54464,27.0,completed,[],310.9368155356107,13.112489717599418,1.4892938621777274,7.631153414124037,4.9086500109355855,174.19776097800502
